SampleID	SampleName	Sex	Tissue	Treatment	TreatmentTissue
SRR6446939	12-2F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6446940	1-2F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6446941	11-2F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6446942	12.2N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6446943	10-2F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6446944	11.2N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6446945	1.2N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6446946	10.2N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6446947	14.2N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6446948	14-2F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6446949	30.7N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6446950	30-7F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6446951	33.7N	female	Nasal	Control	Nasal+Control
SRR6446952	33-7F	female	Fecal	Control	Fecal+Control
SRR6446953	36.7N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6446954	36-7F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6446955	38.7N	female	Nasal	Control	Nasal+Control
SRR6446956	38-7F	female	Fecal	Control	Fecal+Control
SRR6446957	39.7N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6446958	39-7F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6446959	25.1N	male	Nasal	Control	Nasal+Control
SRR6446960	27.5N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6446961	27-5F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6446962	26.5N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6446963	26-5F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6446964	15.7N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6446965	30-5F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6446966	28.5N	female	Nasal	Control	Nasal+Control
SRR6446967	28-5F	female	Fecal	Control	Fecal+Control
SRR6446968	12.7N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6446969	11-7F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6446970	33.5N	female	Nasal	Control	Nasal+Control
SRR6446971	12-7F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6446972	10.7N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6446973	1.7N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6446974	11.7N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6446975	10-7F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6446976	12.4N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6446977	11-4F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6446978	7-3F	male	Fecal	Control	Fecal+Control
SRR6446979	7.3N	male	Nasal	Control	Nasal+Control
SRR6446980	9-3F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6446981	9.3N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6446982	10.4N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6446983	1.4N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6446984	11.4N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6446985	10-4F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6446986	53.1N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6446987	28-7F	female	Fecal	Control	Fecal+Control
SRR6446988	28.7N	female	Nasal	Control	Nasal+Control
SRR6446989	59-1F	female	Fecal	Control	Fecal+Control
SRR6446990	25-7F	male	Fecal	Control	Fecal+Control
SRR6446991	25.7N	male	Nasal	Control	Nasal+Control
SRR6446992	60-3F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6446993	6-3F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6446994	59.3N	female	Nasal	Control	Nasal+Control
SRR6446995	59-3F	female	Fecal	Control	Fecal+Control
SRR6446996	6.3N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6446997	60.3N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6446998	53-3F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6446999	5-3F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447000	58.3N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447001	58-3F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447002	30.2N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447003	30-2F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447004	33.2N	female	Nasal	Control	Nasal+Control
SRR6447005	33-2F	female	Fecal	Control	Fecal+Control
SRR6447006	36.2N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447007	36-2F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447008	38.2N	female	Nasal	Control	Nasal+Control
SRR6447009	38-2F	female	Fecal	Control	Fecal+Control
SRR6447010	39.2N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447011	39-2F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447012	30.5N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447013	33-6F	female	Fecal	Control	Fecal+Control
SRR6447014	33.6N	female	Nasal	Control	Nasal+Control
SRR6447015	14-7F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447016	36.6N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447017	38-6F	female	Fecal	Control	Fecal+Control
SRR6447018	38.6N	female	Nasal	Control	Nasal+Control
SRR6447019	39-6F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447020	39.6N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447021	40-6F	female	Fecal	Control	Fecal+Control
SRR6447022	40.6N	female	Nasal	Control	Nasal+Control
SRR6447023	27-1F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447024	27.1N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447025	22-3F	male	Fecal	Control	Fecal+Control
SRR6447026	22.3N	male	Nasal	Control	Nasal+Control
SRR6447027	60-1F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447028	60.1N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447029	6.1N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447030	14.7N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447031	33-5F	female	Fecal	Control	Fecal+Control
SRR6447032	58-1F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447033	58.1N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447034	44-4F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447035	44.4N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447036	40-4F	female	Fecal	Control	Fecal+Control
SRR6447037	40.4N	female	Nasal	Control	Nasal+Control
SRR6447038	43-4F	male	Fecal	Control	Fecal+Control
SRR6447039	43.4N	male	Nasal	Control	Nasal+Control
SRR6447040	38-4F	female	Fecal	Control	Fecal+Control
SRR6447041	38.4N	female	Nasal	Control	Nasal+Control
SRR6447042	39-4F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447043	39.4N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447044	11.5N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447045	10-5F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447046	9-4F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447047	9.4N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447048	10.5N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447049	1.5N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447050	6-4F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447051	60-4F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447052	7-4F	male	Fecal	Control	Fecal+Control
SRR6447053	7.4N	male	Nasal	Control	Nasal+Control
SRR6447054	60-6F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447055	6-6F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447056	7.6N	male	Nasal	Control	Nasal+Control
SRR6447057	7-6F	male	Fecal	Control	Fecal+Control
SRR6447058	59.6N	female	Nasal	Control	Nasal+Control
SRR6447059	59-6F	female	Fecal	Control	Fecal+Control
SRR6447060	6.6N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447061	60.6N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447062	9.6N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447063	9-6F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447064	17.1N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447065	17-1F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447066	19.1N	female	Nasal	Control	Nasal+Control
SRR6447067	19-1F	female	Fecal	Control	Fecal+Control
SRR6447068	14.1N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447069	14-1F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447070	6-1F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447071	15.1N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447072	15-1F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447073	27.4N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447074	27-4F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447075	28.4N	female	Nasal	Control	Nasal+Control
SRR6447076	28-4F	female	Fecal	Control	Fecal+Control
SRR6447077	30.4N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447078	30-4F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447079	33.4N	female	Nasal	Control	Nasal+Control
SRR6447080	33-4F	female	Fecal	Control	Fecal+Control
SRR6447081	36.4N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447082	36-4F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447083	10-3F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447084	11.3N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447085	11-3F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447086	12.3N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447087	9.2N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447088	9-2F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447089	1.3N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447090	10.3N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447091	12-3F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447092	1-3F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447093	17-3F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447094	53.7N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447095	51-7F	male	Fecal	Control	Fecal+Control
SRR6447096	51.7N	male	Nasal	Control	Nasal+Control
SRR6447097	50-7F	male	Fecal	Control	Fecal+Control
SRR6447098	50.7N	male	Nasal	Control	Nasal+Control
SRR6447099	5.7N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447100	49-7F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447101	49.7N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447102	5-7F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447103	53-7F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447104	59.1N	female	Nasal	Control	Nasal+Control
SRR6447105	30.6N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447106	36.5N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447107	38-5F	female	Fecal	Control	Fecal+Control
SRR6447108	38.5N	female	Nasal	Control	Nasal+Control
SRR6447109	39-5F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447110	39.5N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447111	40-5F	female	Fecal	Control	Fecal+Control
SRR6447112	40.5N	female	Nasal	Control	Nasal+Control
SRR6447113	25.6N	male	Nasal	Control	Nasal+Control
SRR6447114	25-6F	male	Fecal	Control	Fecal+Control
SRR6447115	26.6N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447116	26-6F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447117	27.6N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447118	27-6F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447119	28.6N	female	Nasal	Control	Nasal+Control
SRR6447120	28-6F	female	Fecal	Control	Fecal+Control
SRR6447121	53-1F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447122	14-5F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447123	15.5N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447124	15-5F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447125	1-5F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447126	11-5F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447127	12.5N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447128	12-5F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447129	14.5N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447130	27-7F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447131	27.7N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447132	26-7F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447133	26.7N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447134	17.5N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447135	17-5F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447136	24-7F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447137	24.7N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447138	53.3N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447139	51-3F	male	Fecal	Control	Fecal+Control
SRR6447140	49-3F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447141	49.3N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447142	47-3F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447143	47.3N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447144	51.3N	male	Nasal	Control	Nasal+Control
SRR6447145	50-3F	male	Fecal	Control	Fecal+Control
SRR6447146	50.3N	male	Nasal	Control	Nasal+Control
SRR6447147	5.3N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447148	19-3F	female	Fecal	Control	Fecal+Control
SRR6447149	26-1F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447150	38.1N	female	Nasal	Control	Nasal+Control
SRR6447151	38-1F	female	Fecal	Control	Fecal+Control
SRR6447152	36.1N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447153	36-1F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447154	33.1N	female	Nasal	Control	Nasal+Control
SRR6447155	33-1F	female	Fecal	Control	Fecal+Control
SRR6447156	30.1N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447157	30-1F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447158	28.1N	female	Nasal	Control	Nasal+Control
SRR6447159	28-1F	female	Fecal	Control	Fecal+Control
SRR6447160	26.3N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447161	26-3F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447162	25.3N	male	Nasal	Control	Nasal+Control
SRR6447163	25-3F	male	Fecal	Control	Fecal+Control
SRR6447164	24.3N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447165	24-3F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447166	23.3N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447167	23-3F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447168	27.3N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447169	27-3F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447170	5.5N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447171	50.5N	male	Nasal	Control	Nasal+Control
SRR6447172	19.3N	female	Nasal	Control	Nasal+Control
SRR6447173	44.5N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447174	44-5F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447175	45.5N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447176	45-5F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447177	47.5N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447178	47-5F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447179	49.5N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447180	49-5F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447181	51.6N	male	Nasal	Control	Nasal+Control
SRR6447182	50-6F	male	Fecal	Control	Fecal+Control
SRR6447183	50.6N	male	Nasal	Control	Nasal+Control
SRR6447184	5.6N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447185	5-6F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447186	53-6F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447187	53.6N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447188	51-6F	male	Fecal	Control	Fecal+Control
SRR6447189	58-6F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447190	58.6N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447191	15-7F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447192	17.7N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447193	26-4F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447194	26.4N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447195	25-4F	male	Fecal	Control	Fecal+Control
SRR6447196	25.4N	male	Nasal	Control	Nasal+Control
SRR6447197	24-4F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447198	24.4N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447199	23-4F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447200	23.4N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447201	22-4F	male	Fecal	Control	Fecal+Control
SRR6447202	22.4N	male	Nasal	Control	Nasal+Control
SRR6447203	40-2F	female	Fecal	Control	Fecal+Control
SRR6447204	40.2N	female	Nasal	Control	Nasal+Control
SRR6447205	43-2F	male	Fecal	Control	Fecal+Control
SRR6447206	43.2N	male	Nasal	Control	Nasal+Control
SRR6447207	44-2F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447208	44.2N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447209	45-2F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447210	45.2N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447211	47-2F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447212	47.2N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447213	14-3F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447214	59.7N	female	Nasal	Control	Nasal+Control
SRR6447215	59-7F	female	Fecal	Control	Fecal+Control
SRR6447216	58.7N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447217	58-7F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447218	60-7F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447219	6-7F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447220	6.7N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447221	60.7N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447222	7.7N	male	Nasal	Control	Nasal+Control
SRR6447223	7-7F	male	Fecal	Control	Fecal+Control
SRR6447224	23.1N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447225	23-6F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447226	23.6N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447227	22-6F	male	Fecal	Control	Fecal+Control
SRR6447228	22.6N	male	Nasal	Control	Nasal+Control
SRR6447229	19-6F	female	Fecal	Control	Fecal+Control
SRR6447230	19.6N	female	Nasal	Control	Nasal+Control
SRR6447231	17-6F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447232	17.6N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447233	24-6F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447234	24.6N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447235	9.5N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447236	9-5F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447237	7.5N	male	Nasal	Control	Nasal+Control
SRR6447238	7-5F	male	Fecal	Control	Fecal+Control
SRR6447239	60-5F	male	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447240	6-5F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447241	6.5N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447242	60.5N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447243	1.6N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447244	10.6N	male	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447245	14.3N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447246	22-5F	male	Fecal	Control	Fecal+Control
SRR6447247	22.5N	male	Nasal	Control	Nasal+Control
SRR6447248	19-5F	female	Fecal	Control	Fecal+Control
SRR6447249	19.5N	female	Nasal	Control	Nasal+Control
SRR6447250	24-5F	female	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447251	24.5N	female	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447252	23-5F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447253	23.5N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447254	25-5F	male	Fecal	Control	Fecal+Control
SRR6447255	25.5N	male	Nasal	Control	Nasal+Control
SRR6447256	44.3N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447257	44-3F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447258	43.3N	male	Nasal	Control	Nasal+Control
SRR6447259	43-3F	male	Fecal	Control	Fecal+Control
SRR6447260	40.3N	female	Nasal	Control	Nasal+Control
SRR6447261	40-3F	female	Fecal	Control	Fecal+Control
SRR6447262	39.3N	male	Nasal	Tulathromycin	Nasal+Tulathromycin
SRR6447263	39-3F	male	Fecal	Tulathromycin	Fecal+Tulathromycin
SRR6447264	45.3N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447265	45-3F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447266	23.2N	female	Nasal	Oxytetracycline	Nasal+Oxytetracycline
SRR6447267	23-2F	female	Fecal	Oxytetracycline	Fecal+Oxytetracycline
SRR6447268	22.2N	male	Nasal	Control	Nasal+Control
SRR6447269	22-2F	male	Fecal	Control	Fecal+Control
SRR6447270	19.2N	female	Nasal	Control	Nasal+Control
SRR6447271	19-2F	female	Fecal	Control	Fecal+Control
